"","Date","Precip_mm","Snow_mm","SnowDepth_mm","TempMax_degC","TempMin_degC","TempMean_degC"
"5737",1945-09-15,12.446,NA,NA,21.1111111111111,15.5555555555556,18.3333333333333
"5738",1945-09-16,0,NA,NA,18.3333333333333,11.1111111111111,14.7222222222222
"5739",1945-09-17,1.778,NA,NA,13.3333333333333,5.55555555555556,9.44444444444444
"5740",1945-09-18,22.352,NA,NA,11.1111111111111,5.55555555555556,8.33333333333333
"5741",1945-09-19,35.56,NA,NA,17.2222222222222,11.1111111111111,14.1666666666667
"5742",1945-09-20,0,NA,NA,16.6666666666667,10.5555555555556,13.6111111111111
"5743",1945-09-21,0,NA,NA,21.1111111111111,13.3333333333333,17.2222222222222
"5744",1945-09-22,0,NA,NA,20,7.22222222222222,13.6111111111111
"5745",1945-09-23,0,NA,NA,14.4444444444444,7.22222222222222,10.8333333333333
"5746",1945-09-24,0,NA,NA,17.2222222222222,11.6666666666667,14.4444444444444
"5747",1945-09-25,0,NA,NA,24.4444444444444,16.6666666666667,20.5555555555556
"5748",1945-09-26,1.016,NA,NA,24.4444444444444,18.8888888888889,21.6666666666667
"5749",1945-09-27,0,NA,NA,21.1111111111111,12.7777777777778,16.9444444444444
"5750",1945-09-28,1.016,NA,NA,23.3333333333333,15.5555555555556,19.4444444444444
"5751",1945-09-29,0,NA,NA,23.8888888888889,12.2222222222222,18.0555555555556
"5752",1945-09-30,0,NA,NA,12.7777777777778,1.11111111111111,6.94444444444444
"5753",1945-10-01,3.81,0,NA,12.7777777777778,5.55555555555556,9.16666666666667
"5754",1945-10-02,8.382,0,NA,17.2222222222222,12.2222222222222,14.7222222222222
"5755",1945-10-03,0,0,NA,13.8888888888889,2.22222222222222,8.05555555555556
"5756",1945-10-04,0,0,NA,10.5555555555556,-0.555555555555556,5
"5757",1945-10-05,0,0,NA,14.4444444444444,5,9.72222222222222
"5758",1945-10-06,2.794,0,NA,15,10,12.5
"5759",1945-10-07,15.24,0,NA,16.1111111111111,10.5555555555556,13.3333333333333
"5760",1945-10-08,0,0,NA,17.7777777777778,7.22222222222222,12.5
"5761",1945-10-09,20.828,0,NA,16.6666666666667,4.44444444444444,10.5555555555556
"5762",1945-10-10,0,0,NA,10,2.22222222222222,6.11111111111111
"5763",1945-10-11,0,0,NA,11.6666666666667,2.77777777777778,7.22222222222222
"5764",1945-10-12,2.286,0,NA,13.3333333333333,4.44444444444444,8.88888888888889
"5765",1945-10-13,0,0,NA,12.2222222222222,5.55555555555556,8.88888888888889
"5766",1945-10-14,6.096,0,NA,7.22222222222222,2.77777777777778,5
"5767",1945-10-15,2.54,0,NA,7.22222222222222,1.66666666666667,4.44444444444444
"5768",1945-10-16,0,0,NA,12.7777777777778,2.22222222222222,7.5
